date	temperature	humidity	light	leaf Instance Count	leaf average mask	flower Instance Count	flower Mask Pixel Count	terminal average Mask Pixel Count	fruit Mask average	all leaf mask	Target
2024/3/14	20.63	64.36	8649.46	3.4375	710.4363636	0	0	0	0	19537	0.453366138
2024/3/15	20.53	65.88	7632.46	3.3125	819.8490566	0	0	0	0	21726	0.490901065
2024/3/16	19.1	67.16	3607.71	3.3125	857.9811321	0	0	0	0	22736.5	0.269564552
2024/3/17	14.38	85.09	1332.75	3.5	733.5178571	0	0	0	0	20538.5	0.133163776
2024/3/18	20.82	67.56	7546.47	4.3125	706.7826087	0	0	0	0	24384	0.605236841
2024/3/19	19.77	62.15	8121.25	3.8125	880.7868852	0	0	0	0	26864	0.694583828
2024/3/20	21.07	61.47	8409.58	3.625	1050.862069	0	0	0	0	30475	0.748895387
2024/3/21	23.55	60.55	8777.9	3.5	1336.428571	0	0	136.5	0	37420	0.905628948
2024/3/22	24.69	60.3	8492.6	3.3125	1682.641509	0	0	281.6666667	0	44590	0.774984209
2024/3/23	17.6	72.68	1154.47	3.625	1639.517241	0	0	519.75	0	47546	0.127062006
2024/3/24	14.16	89.9	958.68	3.5625	1706.77193	0	0	285.2142857	0	48643	0.119726853
2024/3/25	22.7	66.13	10097.28	3.75	1895.666667	0	0	197.9285714	0	56870	1.958839181
2024/3/26	17.96	73.06	4573.71	3.5	2327.321429	0	0	286.5714286	0	65165	0.901322266
2024/3/27	20.98	68.18	7636.23	3.75	2527.716667	0	0	302.35	0	75831.5	2.213606759
2024/3/28	23.96	64.51	10124.05	3.875	2899	0	0	411.1875	0	89869	6.457513902
2024/3/29	29.386625	58.50897917	10479.65104	3.875	3558.758065	0	0	558.9473684	0	110321.5	10.11993301
2024/3/30	23.288875	60.7995625	2802.989583	3.375	5189.907407	0	0	773.5833333	0	140127.5	5.893805687
2024/3/31	25.96185417	61.10748958	3307.219792	4.25	5537.705882	0.5	318.5	666.8666667	0	188282	7.533728777
2024/4/1	21.92309375	73.93171875	3343.601042	4.5	5961.388889	5	1541.5	729.875	0	214610	7.237936973
2024/4/2	19.20692708	75.30382292	2498.483333	4.6875	6467.746667	5.5	2289.5	790.0833333	414.5	242540.5	5.902701763
2024/4/3	23.292125	66.30011458	7044.289583	5	6964.725	1	257	833.3181818	0	278589	7.707370978
2024/4/4	18.85932292	74.431125	3998.94375	4.9375	6850.582278	1.5	407.5	946.5714286	0	270598	3.531661122
2024/4/5	15.80785417	80.29898958	2613.453125	4.6875	8140.906667	2	805	1054.166667	0	305284	2.555304955
2024/4/6	22.52222917	66.9148125	6891.54375	5.25	7829.690476	1	276.5	1206.538462	0	328847	7.030740349
2024/4/7	22.15619792	68.01966667	6574.305208	5	9673.5875	3.5	1365.5	1054.666667	0	386943.5	7.013624486
2024/4/8	24.87283333	64.70904167	8826.020833	5.6875	10007.52747	1	654.5	1441.28125	0	455342.5	12.62050671
2024/4/9	24.00498958	67.77917708	5889.078125	6.5625	9530.990476	3	1454.5	1410.625	0	500377	9.295939776
2024/4/10	23.36885417	70.19391667	4713.655208	5.9375	10671.8	2	1422.5	1351.285714	0	506910.5	7.551684655
2024/4/11	25.58891667	64.29494792	6283.260417	6.1875	11179.41414	4	1943.5	977	0	553381	10.08021779
2024/4/12	26.51435417	60.33936458	6028.7625	6.5	9235.326923	3.5	1570.5	1011.142857	0	480237	13.49859567
2024/4/13	23.41954167	70.5774375	3853.005208	7.6875	8678.707317	7.5	2690.5	1222.735294	174.5	533740.5	9.10859816
2024/4/14	26.79926042	67.551875	6168.533333	7.0625	9791.911504	6	2305.5	1067.766667	0	553243	9.86556938
2024/4/15	25.49707292	67.86738542	4788.1375	8.25	8533.136364	6.5	2115.5	1439.3	0	563187	10.12154404
2024/4/16	22.64464583	69.20347917	4056.671875	8.0625	8818.379845	6	2474.5	951.0625	0	568785.5	9.089874128
2024/4/17	27.09116667	63.93860417	6570.940625	7.875	9695.15873	5	2446	991.5357143	909	610795	11.38928653
2024/4/18	27.29008333	66.89680208	6156.79375	6.6875	11971.52336	4	1778	1089.866667	668	640476.5	18.91351898
2024/4/19	24.76902083	66.88390625	5828.628125	8.25	8997.712121	8	2982.5	811.4705882	241.5	593849	16.77079012
2024/4/20	22.4264375	74.68151042	5893.748958	6.5625	12066.97143	5	1975	1034.46875	608.75	633516	15.0023411
2024/4/21	26.71283333	65.62008333	7615.205208	7.3125	9989.880342	7	2367.5	675.7222222	0	584408	19.98293895
2024/4/22	25.40963542	66.23563542	4720.717708	7.75	10087.49194	3.5	1727.5	853	571.5	625424.5	18.54761094
2024/4/23	22.31361458	61.34838542	6087.070833	8.0625	10009.0155	4.5	2452	717.3181818	416.5	645581.5	8.639046536
2024/4/24	22.56454167	65.10407292	5130.835417	8.1875	9765.312977	5	2020.5	691.35	462	639628	8.194864594
2024/4/25	27.79691667	61.70871875	7815.261458	8.125	10090.35385	4	1185.5	789.2727273	468.25	655873	6.651704897
2024/4/26	29.5304375	62.42257292	7862.889583	6.75	11205.5	1.5	759.5	828.0384615	537.5	605097	6.734664147
2024/4/27	26.18277083	67.86735417	5687.626042	7.6875	10213.65854	7	3955.5	721.4615385	477	628140	4.742577829
2024/4/28	28.85073958	67.33695833	6159.66875	7.3125	10168.49769	3.083333333	1315	763.0912879	683.5277778	594315.6667	6.552582372
2024/4/29	15.35859375	89.40967708	1539.208333	7.125	10281.99123	2.5	762.5	935.4	669.25	586073.5	1.061078986
2024/4/30	19.36557292	66.00398958	5794.221875	7.125	9619.473684	1.5	548	654.375	869	548310	1.20821344
2024/5/1	23.42705208	66.38059375	7424.4375	7.0625	9600.00885	2	679	650	1080.166667	542400.5	0.770214174
2024/5/2	19.76607292	79.23122917	2394.347917	7	9291.857143	2	1246.5	580.25	580.7857143	520344	1.058982742
2024/5/3	16.89594792	92.21147917	1704.273958	7.5625	9024.123967	5	1874	532.1071429	457.7692308	545959.5	1.238360354
2024/5/4	19.33496875	77.87753125	5835.116667	7.5	9487.725	2.5	1863	604.625	645.0555556	569263.5	2.340063578
2024/5/5	26.66663542	65.94298958	7869.4625	7.125	9007.649123	1.5	427.5	694.125	687.9375	513436	2.735458138
2024/5/6	28.09405208	63.54726042	7397.496875	7.1875	8764.495652	5	1916.5	722.6363636	568.2857143	503958.5	5.173152716
2024/5/7	28.86527083	63.78070833	6970.623958	7.3125	8879.213675	6.5	4049.5	575.3421053	914.0714286	519434	4.949717951
2024/5/8	25.63051042	71.69814583	4308.05	6.5625	9371.390476	6.5	3611	749.6363636	659.8	491998	5.162269514
2024/5/9	29.30917708	62.41029167	7428.711458	7.5	8578.683333	6	2814.5	663.95	663.2142857	514721	3.932800964
2024/5/10	31.02141667	61.86236458	6929.567708	6.9375	8318.963964	6	1554	770.2727273	211.7142857	461702.5	5.115710173
