date	temperature	humidity	light	leaf Instance Count	leaf average mask	flower Instance Count	flower Mask Pixel Count	terminal average Mask Pixel Count	fruit Mask average	all leaf mask	Target
2023/3/12	19.43	63.31	8073.86	3.8125	493.5245902	0	0	0	0	15052.5	0.175197705
2023/3/13	20.44	68.83	6603.79	3.3125	582.3962264	0	0	0	0	15433.5	0.292296274
2023/3/14	20.63	64.36	8649.46	3.390625	696.4236093	0	0	0	0	18611.375	0.453366138
2023/3/15	20.53	65.88	7632.46	3.375	828.0185185	0	0	0	0	22356.5	0.490901065
2023/3/16	19.1	67.16	3607.71	3.0625	881.755102	0	0	0	0	21603	0.269564552
2023/3/17	14.38	85.09	1332.75	3.5625	741.2631579	0	0	0	0	21126	0.133163776
2023/3/18	20.82	67.56	7546.47	4.0625	710.8	0	0	0	0	23101	0.605236841
2023/3/19	19.77	62.15	8121.25	4.0625	854.8	0	0	0	0	27781	0.694583828
2023/3/20	21.07	61.47	8409.58	3.5	1067.910714	0	0	0	0	29901.5	0.748895387
2023/3/21	23.55	60.55	8777.9	3.5	1336.428571	0	0	136.5	0	37420	0.905628948
2023/3/22	24.69	60.3	8492.6	3.375	1651.703704	0	0	341.75	0	44596	0.774984209
2023/3/23	17.6	72.68	1154.47	3.625	1639.517241	0	0	519.75	0	47546	0.127062006
2023/3/24	14.16	89.9	958.68	3.5625	1825.298246	0	0	299.8333333	0	52021	0.119726853
2023/3/25	22.7	66.13	10097.28	3.75	1895.666667	0	0	197.9285714	0	56870	1.958839181
2023/3/26	17.96	73.06	4573.71	3.5	2327.321429	0	0	286.5714286	0	65165	0.901322266
2023/3/27	22.47 	62.80 	9134.51 	3.75	2527.716667	0	0	302.35	0	75831.5	2.5900352
2023/3/28	23.55 	62.61 	8392.45 	3.875	2899	0	0	411.1875	0	89869	5.203312076
2023/3/29	23.25 	64.63 	7724.16 	3.875	3558.758065	0	0	558.9473684	0	110321.5	6.876883708
2023/3/30	19.95 	65.93 	5820.01 	3.375	5189.907407	0	0	773.5833333	0	140127.5	5.195023409
2023/3/31	23.29 	65.72 	7537.45 	4.25	5537.705882	0.5	318.5	666.8666667	0	188282	9.428366996
2023/4/1	23.82 	66.00 	7389.89 	4.5	5961.388889	5	1541.5	729.875	0	214610	10.22138792
2023/4/2	15.10 	92.02 	792.46 	4.6875	6467.746667	5.5	2289.5	790.0833333	414.5	242540.5	1.287862203
2023/4/3	13.27 	91.89 	1460.70 	5	6964.725	1	257	833.3181818	0	278589	1.930097587
2023/4/4	16.54 	78.04 	4154.22 	4.9375	6850.582278	1.5	407.5	946.5714286	0	270598	4.048292691
2023/4/5	14.48 	84.28 	2098.10 	4.6875	8140.906667	2	805	1054.166667	0	305284	2.262978068
2023/4/6	21.00 	64.51 	8548.52 	5.25	7829.690476	1	276.5	1206.538462	0	328847	8.072294312
2023/4/7	20.10 	66.55 	6371.78 	5	9673.5875	3.5	1365.5	1054.666667	0	386943.5	7.976828916
2023/4/8	23.69 	64.07 	8545.41 	5.6875	10007.52747	1	654.5	1441.28125	0	455342.5	12.97668545
2023/4/9	25.54 	64.19 	6457.86 	6.5625	9530.990476	3	1454.5	1410.625	0	500377	13.65551919
2023/4/10	27.87 	62.50 	5655.25 	5.9375	10671.8	2	1422.5	1351.285714	0	506910.5	13.29968415
2023/4/11	24.82 	59.65 	5811.28 	6.1875	11179.41414	4	1943.5	977	0	553381	10.22519635
2023/4/12	23.80 	62.73 	4232.33 	6.5	9235.326923	3.5	1570.5	1011.142857	0	480237	10.52219285
2023/4/13	19.01 	86.77 	1666.73 	7.6875	8678.707317	7.5	2690.5	1222.735294	174.5	533740.5	5.124833157
2023/4/14	23.30 	67.00 	4252.75 	7.0625	9791.911504	6	2305.5	1067.766667	0	553243	8.210099335
2023/4/15	26.97 	62.45 	5055.24 	6.875	10045	4.5	1694.5	1027.033333	0	552475	10.71170791
2023/4/16	27.92 	63.57 	4980.68 	7.375	9814.254237	3.5	1844.5	761.7058824	0	579041	11.65289399
2023/4/17	26.21 	68.30 	3754.94 	7.875	9695.15873	5	2446	991.5357143	909	610795	10.02257214
2023/4/18	27.66 	67.55 	4653.68 	8.25	9393.477273	7	2024.5	977.8571429	0	619969.5	11.44783722
2023/4/19	29.02 	66.58 	4844.43 	7.453125	10502.70948	4.5	1775.5	950.839881	525.1875	621119.75	12.83897155
2023/4/20	25.61 	58.03 	2999.65 	6.6875	11971.52336	4	1778	1089.866667	668	640476.5	13.87549859
